"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=OBJ:lord->ENT:god>>OBJ:creator->ATTR:divine>>OBJ:speaker", [GNSS|0002]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:heaven|R.OBJ=OBJ:firmament->OBJ:sky>>OBJ:sphere->ATTR:celestial", [GNSS|0003]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:earth|R.OBJ=OBJ:land->ATTR:dry>>OBJ:surface->OBJ:planet", [GNSS|0004]
"^ ACT|P=ACTV:create|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=ENT:heaven>>ENT:earth|TEMP=TIME:beginning", [GNSS|0001-0004]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:darkness|R.OBJ=OBJ:absence->ATTR:primordial->OBJ:light", [GNSS|0007]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:deep|R.OBJ=OBJ:waters->ATTR:primordial>>OBJ:abyss", [GNSS|0009]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:spirit->ENT:god|R.OBJ=OBJ:spirit->ATTR:divine|R.AEE=ACT:move->OBJ:waters", [GNSS|000A-000B]
"^ COP|P=be|G.T=PA|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:earth|R.OBJ=ATTR:unformed>>ATTR:void; ^ ACT|P=ACTV:cover|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:darkness|R.OBJ=OBJ:face->ENT:deep; ^ ACT|P=ACTV:hover|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:spirit->ENT:god|R.OBJ=OBJ:face->OBJ:waters", [GNSS|0005-000D]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:light|R.OBJ=OBJ:illumination->ATTR:created", [GNSS|0010]
"^ ACT|P=ACTV:say|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=OBJ:command->OBJ:light->OBJ:be; ^ ACT|P=ACTV:appear|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:light|R.OBJ=OBJ:existence", [GNSS|000E-0010]
"^ ACT|P=ACTV:see|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=ENT:light->PROP:good; ^ ACT|P=ACTV:separate|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=ENT:light>>ENT:darkness", [GNSS|0011-0016]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:day|R.OBJ=OBJ:period->OBJ:light->ACT:name->ENT:god", [GNSS|0018]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:night|R.OBJ=OBJ:period->OBJ:darkness->ACT:name->ENT:god", [GNSS|001A]
"^ ACT|P=ACTV:name|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=ENT:light->OBJ:day>>ENT:darkness->OBJ:night", [GNSS|0017-001A]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:firmament|R.OBJ=OBJ:expanse->ACT:divide->OBJ:waters", [GNSS|0026]
"^ ACT|P=ACTV:say|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=OBJ:command->OBJ:expanse->OBJ:appear->LOCN=OBJ:waters; ^ ACT|P=ACTV:make|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=ENT:expanse->ACT:separate->OBJ:waters->ATTR:below>>OBJ:waters->ATTR:above|C.EVAL=EVAL:so", [GNSS|001F-002B]
"^ ACT|P=ACTV:name|G.T=PA|G.V=ACT|G.M=IND|G.AS=-|R.AFF=ENT:god|R.OBJ=ENT:expanse->ENT:heaven", [GNSS|002C-002E]
"^ COP|P=be|G.T=PR|G.V=STAT|G.M=IND|G.AS=-|R.AFF=ENT:seas|R.OBJ=OBJ:waters->ENT:earth->ACT:gather", [GNSS|003C-003D]
